taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
102,switchtrack,43393,TrackData,2024-04-09T19:02:23,24.0,109.0248,319.9999,361.851166,896.000366,3446.0,,
103,gridshot,19966,SparData,2024-04-09T19:03:50,93.67088,800.6064306723108,77.0,79.0,1.23521149,74.0,,
104,strafetrack,16701,TrackData,2024-04-09T19:05:03,22.0,168.8421,816.000244,588.000061,1768.0022,4955.0,,
105,microshot,25316,SparData,2024-04-09T19:06:12,82.47423,702.6380861170152,86.0,97.0,1.33544481,80.0,,
106,switchtrack,26615,TrackData,2024-04-09T19:07:23,17.0,174.456146,471.999634,832.69,2375.9978,2314.0,,
107,microshot,27534,SparData,2024-04-09T19:08:50,84.15842,669.2198042280218,90.0,101.0,1.41886961,85.0,,
108,switchtrack,18605,TrackData,2024-04-09T19:10:02,14.0,198.400024,232.000031,1225.60059,2455.99683,2398.0,,
109,strafetrack,9702,TrackData,2024-04-09T19:11:10,16.0,186.28569,824.000244,986.285645,3311.98584,4716.0,,
110,gridshot,21134,SparData,2024-04-09T19:12:22,87.77778,749.9571515819695,82.0,90.0,1.31877255,79.0,,
111,switchtrack,58486,TrackData,2024-04-09T19:13:57,28.0,117.294128,279.999969,302.117554,872.000366,2820.0,,
112,gridshot,55638,SparData,2024-04-09T19:15:07,92.02127,341.30302786413637,176.0,188.0,2.88772416,173.0,,
113,microshot,56872,SparData,2024-04-09T19:16:18,94.83871,406.56441772876116,148.0,155.0,2.45380163,147.0,,
114,strafetrack,55067,TrackData,2024-04-09T19:17:29,47.0,199.88147,1136.00085,223.941147,768.0001,2977.0,,
115,switchtrack,25402,TrackData,2024-04-09T19:18:45,17.0,116.444458,232.000031,590.0249,1992.00256,2956.0,,
116,microshot,27293,SparData,2024-04-09T19:19:54,79.62963,657.1988182915584,90.0,108.0,1.435568,86.0,,
117,gridshot,34228,SparData,2024-04-09T19:21:02,90.625,510.1415786743162,119.0,128.0,1.93639469,116.0,,
118,strafetrack,20991,TrackData,2024-04-09T19:22:14,26.0,147.28,1000.00061,422.811859,1344.00134,4392.0,,
119,microshot,22777,SparData,2024-04-09T19:23:42,71.55963,725.5421894352612,84.0,109.0,1.30202806,78.0,,
120,strafetrack,29306,TrackData,2024-04-09T19:25:11,32.0,168.523346,1336.00122,363.407318,1184.001,4037.0,,
121,switchtrack,30476,TrackData,2024-04-09T19:26:27,19.0,105.600006,232.000031,467.52005,2152.00073,3068.0,,
122,gridshot,31426,SparData,2024-04-09T19:27:37,87.30159,535.3061257795855,113.0,126.0,1.836194,110.0,,
123,switchtrack,50046,TrackData,2024-04-09T19:29:04,26.0,92.571434,327.999878,275.716064,1064.00073,4376.0,,
124,gridshot,50495,SparData,2024-04-09T19:30:13,91.42857,368.66628465652457,163.0,175.0,2.67087579,160.0,,
125,microshot,44377,SparData,2024-04-09T19:31:29,89.13044,482.925357725562,124.0,138.0,2.05313015,123.0,,
126,strafetrack,43379,TrackData,2024-04-09T19:32:37,40.0,162.3662,1120.00085,236.394318,904.0004,3651.0,,
127,strafetrack,19453,TrackData,2024-04-09T19:33:47,25.0,125.189186,960.0005,393.297272,1784.0022,4714.0,,
128,microshot,19803,SparData,2024-04-09T19:34:59,85.52631,864.05538549285,70.0,76.0,1.08494985,65.0,,
129,gridshot,21778,SparData,2024-04-09T19:36:12,89.01099,719.3297846287858,84.0,91.0,1.35204065,81.0,,
130,switchtrack,23559,TrackData,2024-04-09T19:37:23,16.0,77.7142944,232.000031,425.928619,1288.00122,5140.0,,
131,strafetrack,15769,TrackData,2024-04-09T19:38:52,22.0,83.1328659,840.000244,313.566376,1304.00122,5240.0,,
132,microshot,18133,SparData,2024-04-09T19:40:03,74.4186,841.4885832020935,72.0,86.0,1.06835246,64.0,,
133,switchtrack,23758,TrackData,2024-04-09T19:41:14,16.0,74.80342,232.000031,412.376068,1544.00171,5490.0,,
134,gridshot,18593,SparData,2024-04-09T19:42:23,78.94737,783.0510180664062,78.0,95.0,1.25191116,75.0,,
135,microshot,23536,SparData,2024-04-09T19:43:44,92.40506,784.6634206269918,76.0,79.0,1.21857321,73.0,,
136,switchtrack,25402,TrackData,2024-04-09T19:44:56,17.0,128.216232,240.000031,629.1883,5807.95361,1718.0,,
137,strafetrack,22640,TrackData,2024-04-09T19:46:05,27.0000019,114.225563,840.000244,317.11264,3551.98267,4022.0,,
138,gridshot,26384,SparData,2024-04-09T19:47:16,95.7894745,651.4429266793389,94.0,95.0,1.51898777,91.0,,
139,strafetrack,14131,TrackData,2024-04-09T19:48:26,20.0,116.701027,583.999756,471.7526,2040.00208,5244.0,,
140,microshot,16617,SparData,2024-04-09T19:49:41,78.37838,932.9387667179109,64.0,74.0,0.9681628,58.0,,
141,switchtrack,19442,TrackData,2024-04-09T19:50:49,14.0,105.386673,232.000031,574.2935,2263.99927,4462.0,,
142,gridshot,18154,SparData,2024-04-09T19:51:58,72.38095,782.4294084247789,79.0,105.0,1.26866829,76.0,,
143,switchtrack,19217,TrackData,2024-04-09T19:53:26,14.0,85.33334,232.000031,541.7779,2527.99585,5264.0,,
144,gridshot,21376,SparData,2024-04-09T19:54:43,83.67347,722.1115882687451,85.0,98.0,1.36884284,82.0,,
145,strafetrack,20797,TrackData,2024-04-09T19:55:53,26.0,126.469566,415.999725,371.54776,992.0006,4648.0,,
146,microshot,14138,SparData,2024-04-09T19:57:09,61.95652,935.7907516237287,64.0,92.0,0.951457441,57.0,,
147,strafetrack,27633,TrackData,2024-04-09T20:01:16,31.0,127.5294,824.000244,292.70578,920.0004,4419.0,,
148,switchtrack,35775,TrackData,2024-04-09T20:02:35,21.0,86.375946,303.999939,340.835724,1008.00061,4900.0,,
149,gridshot,32340,SparData,2024-04-09T20:03:44,93.2203445,537.8088865800338,113.0,118.0,1.83623326,110.0,,
150,microshot,26721,SparData,2024-04-09T20:04:56,84.53608,666.0561869760579,90.0,97.0,1.36879039,82.0,,
151,strafetrack,6627,TrackData,2024-04-09T20:06:22,12.0,103.044769,647.9999,765.3725,6951.939,5109.0,,
152,microshot,11896,SparData,2024-04-09T20:07:32,68.1159439,1042.631209256356,58.0,69.0,0.7845221,47.0,,
153,switchtrack,13068,TrackData,2024-04-09T20:08:42,11.0,90.18182,232.000031,757.9393,4071.976,5514.0,,
154,gridshot,15495,SparData,2024-04-09T20:09:51,82.0512848,921.7557513713837,67.0,78.0,1.06829536,64.0,,
155,strafetrack,10473,TrackData,2024-04-09T20:11:17,17.0,135.314285,872.000366,678.5143,3983.977,4803.0,,
156,switchtrack,13474,TrackData,2024-04-09T20:12:29,11.0,103.600006,232.000031,861.8664,4351.97266,5158.0,,
157,microshot,7102,SparData,2024-04-09T20:13:41,55.7377052,1328.2880116780598,46.0,61.0,0.5675512,34.0,,
158,gridshot,15537,SparData,2024-04-09T20:14:48,87.3239441,894.8705387730753,65.0,71.0,1.034946,62.0,,
159,switchtrack,58607,TrackData,2024-04-09T20:16:06,29.0,117.588249,232.000031,298.686035,848.0003,2254.0,,
160,gridshot,55238,SparData,2024-04-09T20:17:14,91.97861,342.37638828366295,175.0,187.0,2.8711226,172.0,,
161,strafetrack,44388,TrackData,2024-04-09T20:18:25,41.0,167.485718,1040.00073,238.799957,824.000244,3456.0,,
162,microshot,51795,SparData,2024-04-09T20:19:37,93.19728,435.302843859596,138.0,147.0,2.286956,137.0,,
163,switchtrack,31279,TrackData,2024-04-09T20:20:46,19.0,108.363647,232.000031,471.272827,1944.00256,3460.0,,
164,gridshot,27004,SparData,2024-04-09T20:21:55,77.27273,579.0109840841856,105.0,132.0,1.70258629,102.0,,
165,strafetrack,28748,TrackData,2024-04-09T20:23:02,31.0,161.513489,936.0005,351.3513,1176.001,3749.0,,
166,microshot,24278,SparData,2024-04-09T20:24:12,77.6699,712.6816663969133,84.0,103.0,1.33542454,80.0,,
167,switchtrack,31279,TrackData,2024-04-09T20:25:36,19.0,94.85715,232.000031,417.500031,1872.00232,4112.0,,
168,gridshot,25355,SparData,2024-04-09T20:26:50,78.68852,615.0120693842568,99.0,122.0,1.60250175,96.0,,
169,strafetrack,23799,TrackData,2024-04-09T20:27:58,28.0,134.372864,696.0,354.440643,1352.00134,4375.0,,
170,microshot,21421,SparData,2024-04-09T20:29:06,73.26733,769.1753518240791,78.0,101.0,1.23527765,74.0,,
171,strafetrack,35761,TrackData,2024-04-10T10:22:06,36.0,142.377609,856.0003,255.328659,1568.00171,3931.0,,
172,switchtrack,40149,TrackData,2024-04-10T10:23:21,23.0,105.546227,327.999878,373.512573,1408.00146,3064.0,,
173,gridshot,37735,SparData,2024-04-10T10:24:32,91.2408752,473.2093464355468,128.0,137.0,2.08659077,125.0,,
174,microshot,32549,SparData,2024-04-10T10:25:39,95.87629,621.1489217657792,96.0,97.0,1.552474,93.0,,
175,microshot,17923,SparData,2024-04-10T10:26:51,92.1875,926.8288531303403,64.0,64.0,0.9848638,59.0,,
176,gridshot,17752,SparData,2024-04-10T10:28:14,95.77465,872.4062993666705,71.0,71.0,1.135094,68.0,,
177,strafetrack,18875,TrackData,2024-04-10T10:29:23,24.0,117.793106,383.9998,372.827545,1480.00159,4960.0,,
178,switchtrack,20661,TrackData,2024-04-10T10:30:36,15.000001,101.925934,287.999969,607.506,4807.967,2504.0,,
179,gridshot,16091,SparData,2024-04-10T10:32:11,82.5,900.1002285119257,69.0,80.0,1.10173643,66.0,,
180,switchtrack,18658,TrackData,2024-04-10T10:33:22,14.0,105.888893,256.0,693.4797,2327.99829,4432.0,,
181,microshot,19557,SparData,2024-04-10T10:34:38,84.41559,862.0123753267178,68.0,77.0,1.08499169,65.0,,
182,strafetrack,19927,TrackData,2024-04-10T10:35:46,25.0,128.581818,712.0,391.709076,1784.0022,4523.0,,
183,gridshot,49268,SparData,2024-04-10T10:37:00,89.26553,374.4799970795838,161.0,177.0,2.63738441,158.0,,
184,strafetrack,47403,TrackData,2024-04-10T10:38:08,43.0,166.904083,936.0005,222.849289,744.000061,3439.0,,
185,switchtrack,61183,TrackData,2024-04-10T10:39:17,29.0,131.047638,232.000031,323.618958,840.000244,1830.0,,
186,microshot,50755,SparData,2024-04-10T10:40:29,92.46575,441.7671961997873,136.0,146.0,2.25358939,135.0,,
187,gridshot,30325,SparData,2024-04-10T10:41:40,86.99187,553.6977022830572,110.0,123.0,1.78610551,107.0,,
188,switchtrack,32309,TrackData,2024-04-10T10:42:52,20.0,102.943405,232.000031,430.868,1888.00244,3394.0,,
189,strafetrack,28457,TrackData,2024-04-10T10:44:01,31.0,144.866653,864.0003,328.2644,1384.00134,3944.0,,
190,microshot,20473,SparData,2024-04-10T10:45:12,74.46808,782.9719404923288,76.0,94.0,1.16850841,70.0,,
191,gridshot,28592,SparData,2024-04-10T10:46:48,78.10219,554.6022539940952,110.0,137.0,1.7861315,107.0,,
192,switchtrack,36792,TrackData,2024-04-10T10:48:03,21.0,106.214294,232.000031,404.857178,1624.00183,3332.0,,
193,microshot,26488,SparData,2024-04-10T10:49:16,85.41667,693.4246695125805,86.0,96.0,1.36877334,82.0,,
194,strafetrack,34316,TrackData,2024-04-10T10:50:24,35.0,170.393143,1008.00061,316.677948,1240.0011,3503.0,,
