taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
109,strafetrack,9702,TrackData,2024-04-09T19:11:10,16,186.28569,824.000244,986.285645,3311.98584,4563,5,CWO
110,gridshot,21134,SparData,2024-04-09T19:12:22,87.77778,749.9571516,82,90,1.31877255,79,5,CWO
111,switchtrack,58486,TrackData,2024-04-09T19:13:57,28,117.294128,279.999969,302.117554,872.000366,2392,6,MK
112,gridshot,55638,SparData,2024-04-09T19:15:07,92.02127,341.3030279,176,188,2.88772416,173,6,MK
113,microshot,56872,SparData,2024-04-09T19:16:18,94.83871,406.5644177,148,155,2.45380163,147,6,MK
114,strafetrack,55067,TrackData,2024-04-09T19:17:29,47,199.88147,1136.00085,223.941147,768.0001,2902,6,MK
115,switchtrack,25402,TrackData,2024-04-09T19:18:45,17,116.444458,232.000031,590.0249,1992.00256,1826,6,CWO
116,microshot,27293,SparData,2024-04-09T19:19:54,79.62963,657.1988183,90,108,1.435568,86,6,CWO
117,gridshot,34228,SparData,2024-04-09T19:21:02,90.625,510.1415787,119,128,1.93639469,116,6,CWO
118,strafetrack,20991,TrackData,2024-04-09T19:22:14,26,147.28,1000.00061,422.811859,1344.00134,3847,6,CWO
119,microshot,22777,SparData,2024-04-09T19:23:42,71.55963,725.5421894,84,109,1.30202806,78,6,CW
120,strafetrack,29306,TrackData,2024-04-09T19:25:11,32,168.523346,1336.00122,363.407318,1184.001,3863,6,CW
121,switchtrack,30476,TrackData,2024-04-09T19:26:27,19,105.600006,232.000031,467.52005,2152.00073,1944,6,CW
122,gridshot,31426,SparData,2024-04-09T19:27:37,87.30159,535.3061258,113,126,1.836194,110,6,CW
123,switchtrack,50046,TrackData,2024-04-09T19:29:04,26,92.571434,327.999878,275.716064,1064.00073,3234,7,MK
124,gridshot,50495,SparData,2024-04-09T19:30:13,91.42857,368.6662847,163,175,2.67087579,160,7,MK
125,microshot,44377,SparData,2024-04-09T19:31:29,89.13044,482.9253577,124,138,2.05313015,123,7,MK
126,strafetrack,43379,TrackData,2024-04-09T19:32:37,40,162.3662,1120.00085,236.394318,904.0004,3436,7,MK
127,strafetrack,19453,TrackData,2024-04-09T19:33:47,25,125.189186,960.0005,393.297272,1784.0022,4539,7,CW
128,microshot,19803,SparData,2024-04-09T19:34:59,85.52631,864.0553855,70,76,1.08494985,65,7,CW
129,gridshot,21778,SparData,2024-04-09T19:36:12,89.01099,719.3297846,84,91,1.35204065,81,7,CW
130,switchtrack,23559,TrackData,2024-04-09T19:37:23,16,77.7142944,232.000031,425.928619,1288.00122,3972,7,CW
131,strafetrack,15769,TrackData,2024-04-09T19:38:52,22,83.1328659,840.000244,313.566376,1304.00122,4802,7,CWO
132,microshot,18133,SparData,2024-04-09T19:40:03,74.4186,841.4885832,72,86,1.06835246,64,7,CWO
133,switchtrack,23758,TrackData,2024-04-09T19:41:14,16,74.80342,232.000031,412.376068,1544.00171,4070,7,CWO
134,gridshot,18593,SparData,2024-04-09T19:42:23,78.94737,783.0510181,78,95,1.25191116,75,7,CWO
135,microshot,23536,SparData,2024-04-09T19:43:44,92.40506,784.6634206,76,79,1.21857321,73,7,MK
136,switchtrack,25402,TrackData,2024-04-09T19:44:56,17,128.216232,240.000031,629.1883,5807.95361,1302,7,MK
137,strafetrack,22640,TrackData,2024-04-09T19:46:05,27.0000019,114.225563,840.000244,317.11264,3551.98267,3912,7,MK
138,gridshot,26384,SparData,2024-04-09T19:47:16,95.7894745,651.4429267,94,95,1.51898777,91,7,MK
139,strafetrack,14131,TrackData,2024-04-09T19:48:26,20,116.701027,583.999756,471.7526,2040.00208,5052,7,CWO
140,microshot,16617,SparData,2024-04-09T19:49:41,78.37838,932.9387667,64,74,0.9681628,58,7,CWO
141,switchtrack,19442,TrackData,2024-04-09T19:50:49,14,105.386673,232.000031,574.2935,2263.99927,3582,7,CWO
142,gridshot,18154,SparData,2024-04-09T19:51:58,72.38095,782.4294084,79,105,1.26866829,76,7,CWO
143,switchtrack,19217,TrackData,2024-04-09T19:53:26,14,85.33334,232.000031,541.7779,2527.99585,4008,7,CW
144,gridshot,21376,SparData,2024-04-09T19:54:43,83.67347,722.1115883,85,98,1.36884284,82,7,CW
145,strafetrack,20797,TrackData,2024-04-09T19:55:53,26,126.469566,415.999725,371.54776,992.0006,4174,7,CW
146,microshot,14138,SparData,2024-04-09T19:57:09,61.95652,935.7907516,64,92,0.951457441,57,7,CW
147,strafetrack,27633,TrackData,2024-04-09T20:01:16,31,127.5294,824.000244,292.70578,920.0004,4224,7,MK
148,switchtrack,35775,TrackData,2024-04-09T20:02:35,21,86.375946,303.999939,340.835724,1008.00061,3938,7,MK
149,gridshot,32340,SparData,2024-04-09T20:03:44,93.2203445,537.8088866,113,118,1.83623326,110,7,MK
150,microshot,26721,SparData,2024-04-09T20:04:56,84.53608,666.056187,90,97,1.36879039,82,7,MK
151,strafetrack,6627,TrackData,2024-04-09T20:06:22,12,103.044769,647.9999,765.3725,6951.939,3811,7,CW
152,microshot,11896,SparData,2024-04-09T20:07:32,68.1159439,1042.631209,58,69,0.7845221,47,7,CW
153,switchtrack,13068,TrackData,2024-04-09T20:08:42,11,90.18182,232.000031,757.9393,4071.976,3706,7,CW
154,gridshot,15495,SparData,2024-04-09T20:09:51,82.0512848,921.7557514,67,78,1.06829536,64,7,CW
155,strafetrack,10473,TrackData,2024-04-09T20:11:17,17,135.314285,872.000366,678.5143,3983.977,3711,7,CWO
156,switchtrack,13474,TrackData,2024-04-09T20:12:29,11,103.600006,232.000031,861.8664,4351.97266,2612,7,CWO
157,microshot,7102,SparData,2024-04-09T20:13:41,55.7377052,1328.288012,46,61,0.5675512,34,7,CWO
158,gridshot,15537,SparData,2024-04-09T20:14:48,87.3239441,894.8705388,65,71,1.034946,62,7,CWO
159,switchtrack,58607,TrackData,2024-04-09T20:16:06,29,117.588249,232.000031,298.686035,848.0003,1736,8,MK
160,gridshot,55238,SparData,2024-04-09T20:17:14,91.97861,342.3763883,175,187,2.8711226,172,8,MK
161,strafetrack,44388,TrackData,2024-04-09T20:18:25,41,167.485718,1040.00073,238.799957,824.000244,3364,8,MK
162,microshot,51795,SparData,2024-04-09T20:19:37,93.19728,435.3028439,138,147,2.286956,137,8,MK
163,switchtrack,31279,TrackData,2024-04-09T20:20:46,19,108.363647,232.000031,471.272827,1944.00256,2046,8,CWO
164,gridshot,27004,SparData,2024-04-09T20:21:55,77.27273,579.0109841,105,132,1.70258629,102,8,CWO
165,strafetrack,28748,TrackData,2024-04-09T20:23:02,31,161.513489,936.0005,351.3513,1176.001,3484,8,CWO
166,microshot,24278,SparData,2024-04-09T20:24:12,77.6699,712.6816664,84,103,1.33542454,80,8,CWO
167,switchtrack,31279,TrackData,2024-04-09T20:25:36,19,94.85715,232.000031,417.500031,1872.00232,3148,8,CW
168,gridshot,25355,SparData,2024-04-09T20:26:50,78.68852,615.0120694,99,122,1.60250175,96,8,CW
169,strafetrack,23799,TrackData,2024-04-09T20:27:58,28,134.372864,696,354.440643,1352.00134,4154,8,CW
170,microshot,21421,SparData,2024-04-09T20:29:06,73.26733,769.1753518,78,101,1.23527765,74,8,CW
